TimeStamp,D1_Commanded_Torque,D1_DC_Bus_Voltage,D2_Motor_Speed,IVT_Result_I
1718634591203.272461,11.4,517.473,714.222,-983.857
1718634591212.272217,11.4,516.193,726.646,-1357.34
1718634591221.271973,11.4,515.585,745.867,-1798.33
1718634591230.271729,4.72248,516.327,765.17,-1917.65
1718634591239.271484,7.38008,516.373,776.271,-1473.82
1718634591248.271240,12.6,516.042,783.373,-1212.86
1718634591257.270996,5.22061,517.102,789.796,-1493.66
1718634591266.270508,0,518.1,795.424,-1753.78
1718634591275.270264,0,517.056,792.255,-1347.07
1718634591284.270020,0,516.707,783.204,-940.369
1718634591293.269775,6.79216,517.742,771.884,-853.051
1718634591302.269531,11.6,517.283,759.256,-904.8
1718634591311.269287,4.80847,517.596,749.256,-906.598
1718634591320.269043,6.79121,518.51,737.359,-853.049
1718634591329.268799,11.6,517.873,726.68,-839.658
1718634591338.268555,4.80942,517.495,720.154,-945.406
1718634591347.268311,0,517.742,716.526,-1042.16
1718634591356.268066,0,517.758,712.206,-846.42
1718634591365.267822,0,517.126,709.423,-650.675
1718634591374.267578,0,517.074,709.103,-522.882
1718634591383.267334,0,517.6,707.948,-411.285
1718634591392.267090,0,517.6,706.155,-301.268
1718634591401.266846,0,517.837,701.578,-192.371
1718634591410.266602,0,518.195,696.682,-98.1738
1718634591419.266357,0,518.395,693,-29.7757
1718634591428.266113,0,518.405,692.526,33.558
1718634591437.265869,0,518.49,691.526,65.9571
1718634591446.265381,0,518.51,691,98.3554
1718634591455.265137,0,518.49,695.739,123.828
1718634591464.264893,0,519.221,713.321,148.684
1718634591473.264648,0,519.8,740.742,178.95
1718634591482.264404,0,519.184,768.793,213.055
1718634591491.264160,0,518.5,784.421,205.415
1718634591500.263916,0,518.074,786,151.417
1718634591509.263672,0,518.026,782.684,91.8127
1718634591518.263428,0,519.021,775.684,15.529
1718634591527.263184,0,519.079,770.579,-60.7546
1718634591536.262939,0,518.595,764.737,-99.182
1718634591545.262695,0,518.321,760,-134.234
1718634591554.262451,0,517.663,756.211,-145.15
1718634591563.262207,0,517.305,751.053,-150.293
1718634591572.261963,0,518.005,746.685,-151.721
1718634591581.261719,0,518.805,740.159,-149.021
1718634591590.261475,0,518.605,735.106,-145.304
1718634591599.261230,0,518.689,729.686,-138.554
1718634591608.260986,0,518.805,724.58,-131.739
1718634591617.260742,0,518.889,718.739,-122.739
1718634591626.260498,0,518.627,714,-113.74
1718634591635.260010,0,518.1,710.687,-100.937
1718634591644.259766,0,517.674,708.893,-87.2232
1718634591653.259521,0,517.531,710.053,-124.165
1718634591662.259277,6.8955,517.285,711.84,-217.478
1718634591671.259033,4.90482,516.789,717.366,-336.477
1718634591680.258789,0,517.095,725.205,-500.723
1718634591689.258545,0,517.72,734.312,-637.469
1718634591698.258301,0,518.3,741.312,-605.07
1718634591707.258057,0,518.584,749.258,-572.671
1718634591716.257813,0,518.285,754.473,-532.427
1718634591725.257568,0,517.127,756.892,-491.478
1718634591734.257324,0,516.884,756.635,-428.316
1718634591743.257080,0,517.531,754.473,-355.418
1718634591752.256836,0,517.995,751.689,-279.702
1718634591761.256592,0,518.668,745.635,-200.847
1718634591770.256348,0,519.016,740.635,-124.867
1718634591779.256104,0,518.984,733.271,-66.6052
1718634591788.255859,0,519.111,726.581,-9.74414
1718634591797.255615,0,518.9,719.326,-0.744385
1718634591806.255371,0,518.616,711.582,8.25537
1718634591815.255127,7.47396,518.205,704.799,-85.6986
1718634591824.254639,12.8,517.58,699.945,-204.406
1718634591833.254395,5.32708,516.905,700.527,-366.195
1718634591842.254150,0,516.895,703.781,-576.031
1718634591851.253906,6.7717,516.716,707.527,-819.657
1718634591860.253662,11.6,516.069,713.144,-1122.95
1718634591869.253418,4.82893,516.74,725.671,-1352.43
1718634591878.253174,0,517.569,735.781,-1125.72
1718634591887.252930,0,517.2,742.363,-899.01
1718634591896.252686,6.88685,517.389,745,-874.22
1718634591905.252441,11.8,517.128,749.725,-898.069
1718634591914.252197,4.91379,516.695,758.307,-958.158
1718634591923.251953,0,516.8,766.724,-1044.11
1718634591932.251709,0,517.414,770.11,-1031.36
1718634591941.251465,0,518.006,765.166,-844.17
1718634591950.251221,0,518.183,757.749,-665.42
1718634591959.250977,0,518.311,746.86,-538.974
1718634591968.250732,0,518.194,735.749,-412.527
1718634591977.250488,7.23401,518.394,722.027,-370.236
1718634591986.250244,12.4,518.075,708.222,-335.587
1718634591995.250000,12.1667,517.506,697.861,-515
1718634592004.249756,12,516.833,691.472,-788.593
1718634592013.249268,5.00098,516.861,690.111,-899.431
1718634592022.249023,0,517.6,688.944,-828.333
1718634592031.248779,0,516.703,687.64,-752.175
1718634592040.248535,0,516.219,687.36,-660.827
1718634592049.248291,0,517.178,689.056,-570.12
1718634592058.248047,0,517.222,689.888,-501.979
1718634592067.247803,0,517.414,690.112,-433.838
1718634592076.247559,0,517.392,688,-349.9
1718634592085.247314,0,516.789,684.697,-259.002
1718634592094.247070,0,517.425,679.584,-190.212
1718634592103.246826,7.46215,518.183,675.169,-146.16
1718634592112.246582,12.8,518.217,673.887,-186.951
1718634592121.246338,5.33854,517.57,679.303,-378.089
1718634592130.246094,0,517.389,687.718,-563.508
1718634592139.245850,0,517.6,696.302,-545.508
1718634592148.245605,0,517.506,703.774,-527.509
1718634592157.245361,0,518.108,711.774,-495.904
1718634592166.245117,0,518.806,718.358,-463.055
1718634592175.244873,0,518.323,724.773,-407.204
1718634592184.244629,0,518.277,729,-341.206
1718634592193.244385,0,518.181,731.83,-273.369
1718634592202.243896,0,517.506,731.699,-202.273
1718634592211.243652,0,517.73,727.057,-134.72
1718634592220.243408,0,518.194,721.285,-89.2708
1718634592229.243164,0,518.489,714.586,-43.822
1718634592238.242920,0,517.993,708.286,-20.217
1718634592247.242676,0,517.907,700.172,1.38242
1718634592256.242432,0,518.889,693.229,-5.73335
1718634592265.242188,6.98958,518.204,685.701,-25.5328
1718634592274.241943,12,517.294,681.057,-141.412
1718634592283.241699,5.01107,517.73,681.414,-365.056
1718634592292.241455,0,517.77,686.77,-530.422
1718634592301.241211,0,517.636,693.827,-520.073
1718634592310.240967,0,517.994,701.241,-509.277
1718634592319.240723,0,517.864,707.414,-482.278
1718634592328.240479,0,518.213,713.24,-455.279
1718634592337.240234,0,518.806,716.115,-418.143
1718634592346.239990,0,517.899,715.413,-378.544
1718634592355.239746,0,516.812,713.702,-324.324
1718634592364.239502,0,516.506,710,-259.611
1718634592373.239258,0,517.107,705.761,-196.15
1718634592382.238770,0,517.994,700.529,-136.469
1718634592391.238525,0,518.194,695.761,-80.8509
1718634592400.238281,0,517.782,689.587,-50.7018
1718634592409.238037,0,517.718,683.762,-20.5526
1718634592418.237793,0,517.594,678.058,-10.5468
1718634592427.237549,0,517.883,675.117,-2.40412
1718634592436.237305,0,518.111,673.942,1.5513
