TimeStamp,D1_Commanded_Torque,IVT_Result_I,D2_Motor_Speed,D1_DC_Bus_Voltage
1718626744819.209961,0,-48.3285,417.96,517.559
1718626744828.209229,0,-62.9557,397.822,517.417
1718626744837.208496,0,-78.2544,360.647,517.338
1718626744846.208008,0,-87.3456,308.372,516.848
1718626744855.207275,0,-93.6451,259.274,517.635
1718626744864.206543,0,-97,232.587,517.617
1718626744873.206055,0,-97,226.31,517.4
1718626744882.205322,0,-96.5799,225.311,516.848
1718626744891.204590,0,-94.8658,225.689,517.014
1718626744900.204102,0,-93.1516,223.932,517.062
1718626744909.203369,0,-94.2305,223,516.862
1718626744918.202637,0,-95.5804,227.135,517.076
1718626744927.202148,0,-93.3886,233.135,516.924
1718626744936.201416,0,-89.5994,245.336,516.524
1718626744945.200684,0,-82.5517,269.98,516.538
1718626744954.200195,0,-73.1236,303.801,516.6
1718626744963.199463,0,-64.0321,336.354,516.6
1718626744972.198730,0,-55.9801,354.265,517.151
1718626744981.198242,0,-49.0571,358,517.262
1718626744990.197510,0,-49.4856,351.802,517.062
1718626744999.196777,0,-49.9141,348.311,516.587
1718626745008.196289,0,-49.2804,345.935,516.951
1718626745017.195557,0,-48.3804,342.246,517.338
1718626745026.194824,0,-49.2987,336.182,517.538
1718626745035.194336,0,-51.5486,332.623,517.806
1718626745044.193604,0,-54.1178,329.935,517.418
1718626745053.192871,0,-57.2675,325.56,516.512
1718626745062.192383,0,-60.0596,317.808,517.026
1718626745071.191650,0,-60.5096,312.248,516.85
1718626745080.190918,0,-60.9595,306.873,517.15
1718626745089.190430,0,-64.5102,300.873,516.85
1718626745098.189697,0,-68.367,292.123,516.875
1718626745107.189209,0,-71.6387,284.186,516.725
1718626745116.188477,0,-74.4806,278.562,517.15
1718626745125.187744,0,-76.4188,275.625,517.4
1718626745134.187256,0,-77.3187,272.25,517.263
1718626745143.186523,10.2208,-92.2124,267.563,517.063
1718626745152.185791,12.8,-150.708,266,516.725
1718626745161.185303,15.0354,-218.655,268.749,516.325
1718626745170.184570,15.6,-736.113,285.118,515.582
1718626745179.183838,16.478,-1253.57,314.674,515.163
1718626745188.183350,16.7,-1661.07,351.107,515.512
1718626745197.182617,19.4134,-2040.75,391.165,514.944
1718626745206.181885,22.8132,-2454.41,430.788,513.432
1718626745215.181396,23.5,-2907.23,449.868,512.763
1718626745224.180664,24.0585,-3123.51,424.157,512.837
1718626745233.179932,24.2,-2907.07,347.827,514.205
1718626745242.179443,24.2,-2635.2,246.22,515.143
1718626745251.178711,24.2,-1995.83,166.316,516.055
1718626745260.177979,24.9976,-1356.45,143.627,516.057
1718626745269.177490,26.9545,-1342.2,171.828,516.106
1718626745278.176758,27.4,-1486.64,220.688,515.445
1718626745287.176025,29.8398,-1879.78,272.821,514.071
1718626745296.175537,30.8,-2456.65,335.757,513.6
1718626745305.174805,35.1846,-3132.24,402.596,512.845
1718626745314.174072,36.3,-3988.97,466.219,512.226
1718626745323.173584,38.0535,-4747.73,488.744,510.728
1718626745332.172852,38.5,-4853.02,439.931,511.472
1718626745341.172119,38.9781,-4958.31,329.905,513.129
1718626745350.171631,38.6219,-3791.29,205.654,514.766
1718626745359.170898,38.5,-2495.39,127.232,515.437
1718626745368.170166,37.8627,-1913.8,122.711,515.226
1718626745377.169678,37.7,-1861.22,173.559,514.62
1718626745386.168945,37.7,-2185.28,244.037,513.852
1718626745395.168213,37.7,-2945.71,323.885,512.983
1718626745404.167725,40.0096,-3749.53,407.565,512.974
1718626745413.166992,40.6,-4689.95,484.021,511.044
1718626745422.166260,41.5555,-5612.28,520.018,510.1
1718626745431.165771,40.5261,-5573.42,478.729,510.58
1718626745440.165039,40.2,-5534.56,357.674,512.855
1718626745449.164307,40.0408,-4470.22,216.796,514.69
1718626745458.163818,40,-2644.32,121.635,515.237
1718626745467.163086,39.8408,-1868.07,108.957,514.821
1718626745476.162354,39.8,-1871.66,159.875,514.189
1718626745485.161865,39.5613,-2153.6,235.087,514.274
1718626745494.161133,40.057,-2949.39,315.45,513.099
1718626745503.160400,40.2,-3747.39,399.866,511.473
1718626745512.159912,41.4729,-4667.24,486.546,511.137
1718626745521.159180,41.8,-5587.06,547.533,510.447
1718626745530.158691,41.8,-5904.16,538.365,510.305
1718626745539.157959,41.8,-6159.14,438.052,511.563
1718626745548.157227,40.6867,-5213.61,283.433,513.4
1718626745557.156738,39.0482,-3373.65,146.858,514.274
1718626745566.156006,38.7,-2075.64,93.636,515.289
1718626745575.155273,37.1099,-1780.91,125.299,515.563
1718626745584.154785,36.7,-1619.56,190.187,514.201
1718626745593.154053,38.6077,-2364.25,263.968,514.01
1718626745602.153320,39.1,-3108.94,347.482,512.422
1718626745611.152832,40.1332,-3965.75,429.692,511.19
1718626745620.152100,40.4,-4834.18,514.47,511.137
1718626745629.151367,41.1946,-5684.77,581.642,510.175
1718626745638.150879,40.2876,-6527.12,576.763,509.085
1718626745647.150146,40,-6325.9,474.431,510.44
1718626745656.149414,39.2851,-4905.36,303.546,513.523
1718626745665.148926,39.1,-3545.07,159.76,515.078
1718626745674.148193,39.1,-2376.96,87.6943,515.3
1718626745683.147461,39.1,-1236.88,115.251,515.573
1718626745692.146973,38.1471,-1779.11,180.81,514.061
1718626745701.146240,38.3764,-2321.31,256.95,513.3
1718626745710.145508,38.5,-3064.66,338.675,512.754
1718626745719.145020,38.3412,-3860.22,420.305,512.363
1718626745728.144287,38.3,-4618.67,505.395,511.071
1718626745737.143555,38.935,-5349.32,582.831,510.09
1718626745746.143066,39.1,-5982.83,621.016,509.49
1718626745755.142334,38.6715,-6305.45,564.529,509.709
1718626745764.141602,38.5,-6588.31,410.803,512.22
1718626745773.141113,36.9131,-4383.43,230.178,514.324
1718626745782.140381,33.1678,-2178.61,104.774,515.892
1718626745791.139648,32.3,-1607.92,79.8218,515.513
1718626745800.139160,32.4586,-1209.8,116.424,514.895
1718626745809.138428,32.5,-1386.52,177.015,514.8
1718626745818.137695,32.5,-1995.15,249.829,513.777
1718626745827.137207,32.5,-2647.49,334.008,513.914
1718626745836.136475,33.9273,-3351.15,423.365,513.177
1718626745845.135742,36.6786,-4070.83,505.176,511.677
1718626745854.135254,37.3,-4901.48,583.172,510.041
1718626745863.134521,36.1902,-5732.12,655.713,508.75
1718626745872.133789,35.9,-6245.8,667.095,508.4
1718626745881.133301,34.7904,-6725.78,568.638,509.831
1718626745890.132568,34.5,-5721.25,376.456,513.294
1718626745899.131836,34.6585,-3598.37,177.55,515.349
1718626745908.131348,34.7,-2117.84,65.2242,515.836
1718626745917.130615,32.64,-1394.3,63.4789,515.628
1718626745926.130127,30.9116,-950.636,110.781,515.364
1718626745935.129395,30.6,-1409.6,175.673,514.823
1718626745944.128662,33.1281,-1875.64,271.544,514.055
1718626745953.128174,33.9,-2829.59,393.156,512.915
1718626745962.127441,33.9,-3783.51,504.125,510.866
1718626745971.126709,33.9,-4685.05,592.821,509.692
1718626745980.126221,35.0085,-5572.85,661.884,508.751
1718626745989.125488,34.825,-6283.54,712.065,507.379
1718626745998.124756,34.7,-6860.4,659.669,508.533
1718626746007.124268,33.5918,-6485.61,487.461,511.75
1718626746016.123535,33.3,-4321.29,257.025,514.669
1718626746025.122803,31.638,-2326.64,77.273,515.772
1718626746034.122314,31.2,-1522.26,20.1567,515.764
1718626746043.121582,30.2505,-717.895,43.8872,515.564
1718626746052.120850,30,-956.638,105.967,515.364
1718626746061.120361,30.6329,-1470.56,224.206,515.572
1718626746070.119629,32.1448,-2428.1,391.393,514.068
1718626746079.118896,32.5,-3594.41,546.902,511.736
1718626746088.118408,33.2909,-4717.68,650.785,510.864
1718626746097.117676,33.5,-5789.88,728.301,509.916
1718626746106.116943,33.5,-6747.76,766.273,508.752
1718626746115.116455,33.5,-6898.96,686.69,509.283
1718626746124.115723,32.235,-7050.14,478.157,511.874
1718626746133.114990,26.4452,-4685.28,218.948,515.142
1718626746142.114502,25,-2046.17,32.0916,515.996
1718626746151.113770,20.0204,-917.85,-18.7172,516.511
1718626746160.113037,18.7,-502.533,-0.302436,516.8
1718626746169.112549,18.2258,-392.357,75.5589,516.053
1718626746178.111816,18.1,-644.786,246.214,515.7
1718626746187.111084,23.3938,-1190.02,467.493,514.274
1718626746196.110596,24.8,-2690.69,653.028,512.582
1718626746205.109863,25.59,-4185.76,750.806,510.742
1718626746214.109131,26.116,-5230.96,808.655,509.353
1718626746223.108643,26.2,-6276.19,784.597,508.729
1718626746232.107910,26.2,-5854.94,613.66,510.84
1718626746241.107178,26.2,-4739.51,341.142,514.479
1718626746250.106689,26.2,-3266.56,105.546,515.836
1718626746259.105957,26.2,-1521.15,11.184,516.511
1718626746268.105225,19.9632,-387.759,13.6022,516.393
1718626746277.104736,17.8264,-416.043,59.6633,516.2
1718626746286.104004,17.7,-450.175,181.768,516.471
1718626746295.103271,19.9099,-984.447,379.513,515.854
1718626746304.102783,20.5,-1518.73,570.699,514.212
1718626746313.102051,23.8932,-2912.89,690.377,512.719
