Time (s),Velocity (m/s),Torque Commanded (Nm),Brake Commanded (N),Pack Voltage (V),Discharge (Wh),Base Speed (m/s),Kv,Motor Power (W),Iq Current (A)
9.858824816797599,26.762998580932617,93.74427616524953,0.0,585.4444512481291,64.32461218439019,40.3250945654075,9.140769741690232,33207.12070803668,109.10646667277646
9.868160035711446,26.780303955078125,93.68294198453174,0.0,585.4413008288445,64.41072141688336,40.32492044026402,9.140779460294697,33206.85244088315,109.03508145313285
9.877489243387174,26.79755973815918,93.62178356582196,0.0,585.4381531336711,64.49677443525277,40.324750850461655,9.140790164538998,33206.556965805685,108.96390079820992
9.886812464803725,26.81476593017578,93.56080090912019,0.0,585.435008155743,64.5827714010511,40.32458575692573,9.140801845688614,33206.23452366314,108.89292470800767
9.896129724196477,26.831924438476562,93.49998725434918,0.0,585.4318658884231,64.66871246961749,40.32442512715485,9.140814496495283,33205.88531426877,108.82214531465222
9.905441046384052,26.84903335571289,93.4393493615862,0.0,585.4287263248469,64.75459780250463,40.324268916820884,9.140828107033188,33205.50961132749,108.75157048601746
9.914746455444146,26.8660945892334,93.378880470754,0.0,585.425589458379,64.84042755505165,40.32411709461268,9.14084267032344,33205.10760718,108.68119235422952
9.924045976036945,26.883106231689453,93.31858734192978,0.0,585.4224552821569,64.92620188881124,40.32396961543273,9.140858176265356,33204.67958032299,108.61101878716224
9.933339632084316,26.900070190429688,93.25846321503637,0.0,585.4193237895464,65.01192095912252,40.32382644915477,9.140874618148231,33204.22571565945,108.54104191694178
9.94262744743173,26.9169864654541,93.19850809007373,0.0,585.4161949739147,65.09758492132462,40.32368755881492,9.140891987711155,33203.74624086777,108.47126174356812
9.95190944584871,26.933855056762695,93.13872196704185,0.0,585.4130688286295,65.18319393075669,40.323552907549946,9.140910276715832,33203.24138298635,108.40167826704126
9.961185651029265,26.95067596435547,93.08011247822267,0.0,585.4099453071186,65.26874906892903,40.323365016602644,9.140916456026174,33203.07080594667,108.33346424374147
9.970456086592339,26.967449188232422,93.02198314700183,0.0,585.4068243904462,65.35425077718136,40.32316346914063,9.14091949891264,33202.98680834648,108.26580906308408
9.979720775427383,26.984176635742188,92.9640124584862,0.0,585.403706072387,65.43969920133107,40.32296617154338,9.140923464668367,33202.87733522072,108.19833852244669
9.98897974100613,27.000856399536133,92.90620702278844,0.0,585.4005903464945,65.52509449327125,40.322773086916605,9.140928345044998,33202.74261417712,108.13106031516345
9.998233006073288,27.01749038696289,92.84856022979585,0.0,585.3974772065452,65.61043679881931,40.32258418293124,9.1409341328254,33202.58284433838,108.06396674790021
10.007480593302628,27.03407859802246,92.79107207950845,0.0,585.3943666463165,65.69572626379261,40.32239942558736,9.140940820413498,33202.39823526983,107.99705782065696
10.016722525297373,27.050621032714844,92.73374257192621,0.0,585.3912586595865,65.78096303400855,40.322218780975426,9.140948400233478,33202.188995960045,107.93033353343368
10.02595882459062,27.06711769104004,92.67657170704916,0.0,585.3881532401342,65.8661472552845,40.322042215276134,9.140956864729805,33201.95533482093,107.86379388623041
10.035189513645728,27.083568572998047,92.62039440796683,0.0,585.3850503487045,65.95127984086238,40.32182186624494,9.14095536416055,33201.99675784859,107.79841062379752
10.044414614856713,27.099973678588867,92.56577276710206,0.0,585.3819499238344,66.03636222063467,40.321525392849026,9.140936567577391,33202.51563370553,107.73483795053778
10.053634149900153,27.116334915161133,92.51129719038566,0.0,585.3788519598181,66.1213945288571,40.321233086355214,9.140918677014476,33203.00949650646,107.67143527745073
10.062848141034133,27.13265037536621,92.45697402843274,0.0,585.3757564507385,66.20637690562259,40.32094492456704,9.140901687546789,33203.478482581784,107.60820999584817
10.072056609801622,27.148921966552734,92.40279693062816,0.0,585.3726633908915,66.2913094851869,40.32066086742316,9.140885590195825,33203.92284013413,107.54515471441825
10.081259577680125,27.165149688720703,92.34876589697191,0.0,585.3695727745734,66.37619240180574,40.32038088436053,9.14087037813616,33204.342757909006,107.48226943316098
10.090457066082042,27.181333541870117,92.29488092746402,0.0,585.3664845960817,66.46102578973483,40.32010494489468,9.140856044560014,33204.73842414304,107.41955415207637
10.099649096355037,27.197473526000977,92.24114202210446,0.0,585.3633988497148,66.54580978322993,40.31983301861993,9.14084258267728,33205.11002656399,107.35700887116441
10.108835689782396,27.21356964111328,92.18754918089326,0.0,585.360315529772,66.63054451654673,40.3195650752094,9.14082998571554,33205.45775239075,107.29463359042512
10.118016867583378,27.22962188720703,92.13410240383037,0.0,585.3572346305536,66.715230123941,40.31930108441507,9.140818246920073,33205.78178833334,107.23242830985843
10.12719265027123,27.24563217163086,92.08079534030068,0.0,585.3541561465726,66.79986673383124,40.31904101057573,9.140807358305436,33206.082355054656,107.17038563815257
10.13636305893974,27.261598587036133,92.02763434091933,0.0,585.3510800721308,66.88445448047318,40.318784829965836,9.14079731459527,33206.35959841731,107.10851296661934
10.145582295684115,27.117212295532227,0.0,0.0,585.3510800721308,66.88445448047318,44.72612881625367,10.14,0.0,0.0
10.154870126168737,26.916942596435547,0.0,0.0,585.3510800721308,66.88445448047318,44.72612881625367,10.14,0.0,0.0
10.16422777917638,26.716100692749023,0.0,0.0,585.3510800721308,66.88445448047318,44.72612881625367,10.14,0.0,0.0
